           time            alfa          F/mass         Rx/mass         Ry/mass               g
      485.00000         4.26772    297930.00000         0.00005         0.00000         9.20249
      486.00000         4.19349    297930.00000         0.00005         0.00000         9.20240
      487.00000         4.11900    297930.00000         0.00005         0.00000         9.20230
      488.00000         4.04425    297930.00000         0.00005         0.00000         9.20221
      489.00000         3.96924    297930.00000         0.00005         0.00000         9.20212
      490.00000         3.89396    297930.00000         0.00005         0.00000         9.20204
      491.00000         3.81842    297930.00000         0.00005         0.00000         9.20195
      492.00000         3.74262    297930.00000         0.00005         0.00000         9.20187
      493.00000         3.66655    297930.00000         0.00005         0.00000         9.20179
      494.00000         3.59023    297930.00000         0.00005         0.00000         9.20171
      495.00000         3.51365    297930.00000         0.00005         0.00000         9.20164
      496.00000         3.43681    297930.00000         0.00005         0.00000         9.20156
      497.00000         3.35971    297930.00000         0.00005         0.00000         9.20149
      498.00000         3.28235    297930.00000         0.00005         0.00000         9.20142
      499.00000         3.20473    297930.00000         0.00005         0.00000         9.20135
      500.00000         3.12686    297930.00000         0.00005         0.00000         9.20128
      501.00000         3.04873    297930.00000         0.00005         0.00000         9.20121
      502.00000         2.97035    297930.00000         0.00005         0.00000         9.20114
      503.00000         2.89171    297930.00000         0.00005         0.00000         9.20108
      504.00000         2.81282    297930.00000         0.00005         0.00000         9.20101
      505.00000         2.73367    297930.00000         0.00005         0.00000         9.20095
      506.00000         2.65427    297930.00000         0.00005         0.00000         9.20089
      507.00000         2.57462    297930.00000         0.00005         0.00000         9.20082
      508.00000         2.49472    297930.00000         0.00005         0.00000         9.20076
      509.00000         2.41457    297930.00000         0.00005         0.00000         9.20070
      510.00000         2.33417    297930.00000         0.00005         0.00000         9.20064
      511.00000         2.25352    297930.00000         0.00005         0.00000         9.20058
      512.00000         2.17262    297930.00000         0.00005         0.00000         9.20052
      513.00000         2.09147    297930.00000         0.00005         0.00000         9.20046
      514.00000         2.01008    297930.00000         0.00005         0.00000         9.20040
      515.00000         1.92845    297930.00000         0.00005         0.00000         9.20034
      516.00000         1.84656    297930.00000         0.00005         0.00000         9.20029
      517.00000         1.76444    297930.00000         0.00005         0.00000         9.20023
      518.00000         1.68207    297930.00000         0.00005         0.00000         9.20017
      519.00000         1.59946    297930.00000         0.00005         0.00000         9.20011
      520.00000         1.51661    297930.00000         0.00005         0.00000         9.20005
      521.00000         1.43352    297930.00000         0.00006         0.00000         9.19999
      522.00000         1.35020    297930.00000         0.00006         0.00000         9.19993
      523.00000         1.26663    297930.00000         0.00006         0.00000         9.19987
      524.00000         1.18283    297930.00000         0.00006         0.00000         9.19980
      525.00000         1.09897         0.00000         0.00006         0.00000         9.19974
      526.00000         1.01926         0.00000         0.00006         0.00000         9.19968
      527.00000         0.93956         0.00000         0.00006         0.00000         9.19962
      528.00000         0.85986         0.00000         0.00006         0.00000         9.19956
      528.27000        -0.16084         0.00000         0.00006        -0.00000         9.19954
      528.28000        -0.16081         0.00000         0.00006        -0.00000         9.19954
      528.29000        -0.16078         0.00000         0.00006        -0.00000         9.19954
      528.30000        -0.16076         0.00000         0.00006        -0.00000         9.19954
      528.31000        -0.16073         0.00000         0.00006        -0.00000         9.19954
      528.32000        -0.16070         0.00000         0.00006        -0.00000         9.19954
      528.33000        -0.16068         0.00000         0.00006        -0.00000         9.19954
      528.34000        -0.16065         0.00000         0.00006        -0.00000         9.19954
      528.35000        -0.16062         0.00000         0.00006        -0.00000         9.19953
      528.36000        -0.16060         0.00000         0.00006        -0.00000         9.19953
      528.37000        -0.16057         0.00000         0.00006        -0.00000         9.19953
      528.38000        -0.16054         0.00000         0.00006        -0.00000         9.19953
      528.39000        -0.16051         0.00000         0.00006        -0.00000         9.19953
      528.40000        -0.16049         0.00000         0.00006        -0.00000         9.19953
      528.41000        -0.16046         0.00000         0.00006        -0.00000         9.19953
      528.42000        -0.16043         0.00000         0.00006        -0.00000         9.19953
      528.43000        -0.16041         0.00000         0.00006        -0.00000         9.19953
      528.44000        -0.16038         0.00000         0.00006        -0.00000         9.19953
      528.45000        -0.16035         0.00000         0.00006        -0.00000         9.19953
      528.46000        -0.16032         0.00000         0.00006        -0.00000         9.19953
      528.47000        -0.16030         0.00000         0.00006        -0.00000         9.19953
      528.48000        -0.16027         0.00000         0.00006        -0.00000         9.19953
      528.49000        -0.16024         0.00000         0.00006        -0.00000         9.19953
      528.50000        -0.16022         0.00000         0.00006        -0.00000         9.19953
      528.51000        -0.16019         0.00000         0.00006        -0.00000         9.19953
      528.52000        -0.16016         0.00000         0.00006        -0.00000         9.19952
      528.53000        -0.16013         0.00000         0.00006        -0.00000         9.19952
      528.54000        -0.16011         0.00000         0.00006        -0.00000         9.19952
      528.55000        -0.16008         0.00000         0.00006        -0.00000         9.19952
      528.56000        -0.16005         0.00000         0.00006        -0.00000         9.19952
      528.57000        -0.16003         0.00000         0.00006        -0.00000         9.19952
      528.58000        -0.16000         0.00000         0.00006        -0.00000         9.19952
      528.59000        -0.15997         0.00000         0.00006        -0.00000         9.19952
      528.60000        -0.15994         0.00000         0.00006        -0.00000         9.19952
      528.61000        -0.15992         0.00000         0.00006        -0.00000         9.19952
      528.62000        -0.15989         0.00000         0.00006        -0.00000         9.19952
      528.63000        -0.15986         0.00000         0.00006        -0.00000         9.19952
      528.64000        -0.15984         0.00000         0.00006        -0.00000         9.19952
      528.65000        -0.15981         0.00000         0.00006        -0.00000         9.19952
      528.66000        -0.15978         0.00000         0.00006        -0.00000         9.19952
      528.67000        -0.15976         0.00000         0.00006        -0.00000         9.19952
      528.68000        -0.15973         0.00000         0.00006        -0.00000         9.19951
      528.69000        -0.15970         0.00000         0.00006        -0.00000         9.19951
      528.70000        -0.15967         0.00000         0.00006        -0.00000         9.19951
      528.71000        -0.15965         0.00000         0.00006        -0.00000         9.19951
      528.72000        -0.15962         0.00000         0.00006        -0.00000         9.19951
      528.73000        -0.15959         0.00000         0.00006        -0.00000         9.19951
      528.74000        -0.15957         0.00000         0.00006        -0.00000         9.19951
      528.75000        -0.15954         0.00000         0.00006        -0.00000         9.19951
      528.76000        -0.15951         0.00000         0.00006        -0.00000         9.19951
      528.77000        -0.15948         0.00000         0.00006        -0.00000         9.19951
      528.78000        -0.15946         0.00000         0.00006        -0.00000         9.19951
      528.79000        -0.15943         0.00000         0.00006        -0.00000         9.19951
      528.80000        -0.15940         0.00000         0.00006        -0.00000         9.19951
      528.81000        -0.15938         0.00000         0.00006        -0.00000         9.19951
      528.82000        -0.15935         0.00000         0.00006        -0.00000         9.19951
      528.83000        -0.15932         0.00000         0.00006        -0.00000         9.19951
      528.84000        -0.15929         0.00000         0.00006        -0.00000         9.19951
      528.85000        -0.15927         0.00000         0.00006        -0.00000         9.19950
      528.86000        -0.15924         0.00000         0.00006        -0.00000         9.19950
      528.87000        -0.15921         0.00000         0.00006        -0.00000         9.19950
      528.88000        -0.15919         0.00000         0.00006        -0.00000         9.19950
      528.89000        -0.15916         0.00000         0.00006        -0.00000         9.19950
      528.90000        -0.15913         0.00000         0.00006        -0.00000         9.19950
      528.91000        -0.15910         0.00000         0.00006        -0.00000         9.19950
      528.92000        -0.15908         0.00000         0.00006        -0.00000         9.19950
      528.93000        -0.15905         0.00000         0.00006        -0.00000         9.19950
      528.94000        -0.15902         0.00000         0.00006        -0.00000         9.19950
      528.95000        -0.15900         0.00000         0.00006        -0.00000         9.19950
      528.96000        -0.15897         0.00000         0.00006        -0.00000         9.19950
      528.97000        -0.15894         0.00000         0.00006        -0.00000         9.19950
      528.98000        -0.15891         0.00000         0.00006        -0.00000         9.19950
      528.99000        -0.15889         0.00000         0.00006        -0.00000         9.19950
      529.00000        -0.15886         0.00000         0.00006        -0.00000         9.19950
      529.01000        -0.15883         0.00000         0.00006        -0.00000         9.19950
      529.02000        -0.15881         0.00000         0.00006        -0.00000         9.19949
      529.03000        -0.15878         0.00000         0.00006        -0.00000         9.19949
      529.04000        -0.15875         0.00000         0.00006        -0.00000         9.19949
      529.05000        -0.15873         0.00000         0.00006        -0.00000         9.19949
      529.06000        -0.15870         0.00000         0.00006        -0.00000         9.19949
      529.07000        -0.15867         0.00000         0.00006        -0.00000         9.19949
      529.08000        -0.15864         0.00000         0.00006        -0.00000         9.19949
      529.09000        -0.15862         0.00000         0.00006        -0.00000         9.19949
      529.10000        -0.15859         0.00000         0.00006        -0.00000         9.19949
      529.11000        -0.15856         0.00000         0.00006        -0.00000         9.19949
      529.12000        -0.15854         0.00000         0.00006        -0.00000         9.19949
      529.13000        -0.15851         0.00000         0.00006        -0.00000         9.19949
      529.14000        -0.15848         0.00000         0.00006        -0.00000         9.19949
      529.15000        -0.15845         0.00000         0.00006        -0.00000         9.19949
      529.16000        -0.15843         0.00000         0.00006        -0.00000         9.19949
      529.17000        -0.15840         0.00000         0.00006        -0.00000         9.19949
      529.18000        -0.15837         0.00000         0.00006        -0.00000         9.19949
      529.19000        -0.15835         0.00000         0.00006        -0.00000         9.19948
      529.20000        -0.15832         0.00000         0.00006        -0.00000         9.19948
      529.21000        -0.15829         0.00000         0.00006        -0.00000         9.19948
      529.22000        -0.15826         0.00000         0.00006        -0.00000         9.19948
      529.23000        -0.15824         0.00000         0.00006        -0.00000         9.19948
      529.24000        -0.15821         0.00000         0.00006        -0.00000         9.19948
      529.25000        -0.15818         0.00000         0.00006        -0.00000         9.19948
      529.26000        -0.15816         0.00000         0.00006        -0.00000         9.19948
      529.27000        -0.15813         0.00000         0.00006        -0.00000         9.19948
